"filename", "language", "JSON", "XML", "C#", "Markdown", "CSV", "comment", "blank", "total"
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\details.md", "Markdown", 0, 0, 0, 72, 0, 0, 6, 78
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 6, 15
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 2
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 7, 19
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\results.csv", "CSV", 0, 0, 0, 0, 65, 0, 0, 65
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_13-41-00\results.md", "Markdown", 0, 0, 0, 32, 0, 0, 7, 39
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\details.md", "Markdown", 0, 0, 0, 79, 0, 0, 6, 85
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\diff-details.md", "Markdown", 0, 0, 0, 16, 0, 0, 6, 22
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\diff.csv", "CSV", 0, 0, 0, 0, 9, 0, 0, 9
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\diff.md", "Markdown", 0, 0, 0, 18, 0, 0, 7, 25
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\results.csv", "CSV", 0, 0, 0, 0, 72, 0, 0, 72
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\VisualStudio\Projects\dnd-assistant\.VSCodeCounter\2026-06-11_15-49-47\results.md", "Markdown", 0, 0, 0, 35, 0, 0, 7, 42
"d:\VisualStudio\Projects\dnd-assistant\Abstract\Entities.cs", "C#", 0, 0, 26, 0, 0, 0, 7, 33
"d:\VisualStudio\Projects\dnd-assistant\Controllers\CampaignsController.cs", "C#", 0, 0, 145, 0, 0, 0, 31, 176
"d:\VisualStudio\Projects\dnd-assistant\Controllers\CharacterOptionsController.cs", "C#", 0, 0, 152, 0, 0, 0, 32, 184
"d:\VisualStudio\Projects\dnd-assistant\Controllers\CharactersController.cs", "C#", 0, 0, 403, 0, 0, 0, 80, 483
"d:\VisualStudio\Projects\dnd-assistant\Controllers\ClassesController.cs", "C#", 0, 0, 83, 0, 0, 1, 19, 103
"d:\VisualStudio\Projects\dnd-assistant\Controllers\ImagesController.cs", "C#", 0, 0, 28, 0, 0, 0, 6, 34
"d:\VisualStudio\Projects\dnd-assistant\Controllers\ItemsController.cs", "C#", 0, 0, 140, 0, 0, 0, 21, 161
"d:\VisualStudio\Projects\dnd-assistant\Controllers\RulesController.cs", "C#", 0, 0, 91, 0, 0, 0, 23, 114
"d:\VisualStudio\Projects\dnd-assistant\Controllers\ServerStatusController.cs", "C#", 0, 0, 17, 0, 0, 0, 2, 19
"d:\VisualStudio\Projects\dnd-assistant\Controllers\SpellsController.cs", "C#", 0, 0, 117, 0, 0, 1, 14, 132
"d:\VisualStudio\Projects\dnd-assistant\Controllers\TemplateController.cs", "C#", 0, 0, 29, 0, 0, 2, 6, 37
"d:\VisualStudio\Projects\dnd-assistant\Controllers\UserController.cs", "C#", 0, 0, 116, 0, 0, 0, 25, 141
"d:\VisualStudio\Projects\dnd-assistant\Controllers\WorldsController.cs", "C#", 0, 0, 384, 0, 0, 1, 81, 466
"d:\VisualStudio\Projects\dnd-assistant\DB\MyDbContext.cs", "C#", 0, 0, 200, 0, 0, 0, 32, 232
"d:\VisualStudio\Projects\dnd-assistant\DTOs\AuthDTOs.cs", "C#", 0, 0, 34, 0, 0, 0, 7, 41
"d:\VisualStudio\Projects\dnd-assistant\Data\Seeding\DbSeeder.cs", "C#", 0, 0, 213, 0, 0, 6, 20, 239
"d:\VisualStudio\Projects\dnd-assistant\JWTService.cs", "C#", 0, 0, 43, 0, 0, 0, 9, 52
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607091619_InitialCreate.Designer.cs", "C#", 0, 0, 211, 0, 0, 2, 79, 292
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607091619_InitialCreate.cs", "C#", 0, 0, 146, 0, 0, 3, 14, 163
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607092425_ClassesAdded.Designer.cs", "C#", 0, 0, 341, 0, 0, 2, 128, 471
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607092425_ClassesAdded.cs", "C#", 0, 0, 199, 0, 0, 3, 29, 231
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607093956_RulesAdded.Designer.cs", "C#", 0, 0, 499, 0, 0, 2, 186, 687
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260607093956_RulesAdded.cs", "C#", 0, 0, 245, 0, 0, 3, 33, 281
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608065921_AddBackgroundProficiencies.Designer.cs", "C#", 0, 0, 502, 0, 0, 2, 187, 691
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608065921_AddBackgroundProficiencies.cs", "C#", 0, 0, 23, 0, 0, 3, 4, 30
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608122846_CharacterEngine.Designer.cs", "C#", 0, 0, 694, 0, 0, 2, 265, 961
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608122846_CharacterEngine.cs", "C#", 0, 0, 175, 0, 0, 3, 16, 194
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608172836_isPublic.Designer.cs", "C#", 0, 0, 696, 0, 0, 2, 266, 964
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260608172836_isPublic.cs", "C#", 0, 0, 23, 0, 0, 3, 4, 30
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609064903_AddWorldsAndCampaigns.Designer.cs", "C#", 0, 0, 962, 0, 0, 2, 370, 1334
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609064903_AddWorldsAndCampaigns.cs", "C#", 0, 0, 253, 0, 0, 3, 30, 286
"d:\VisualStudio\Projects\dnd-assistant\Migrations\20260609104643_LocationsXY.Designer.cs", "C#", 0, 0, 969, 0, 0, 2, 373, 1344
